galaxy,n,N_best,bic1,bic2,margin,chi2gain,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,M_star,r_vir,M_halo,logM_star,logM_halo,logM_halo_per_star
NGC4100,24,1,19.852981940420218,26.209089906202585,6.356107965782368,-3.050864769704731e-07,NGC4100,4,18.0,2.5,4,73.0,2.0,59.394,0.328,4.93,388.0,2.15,8970.78,3.102,18.06,158.2,5.0,1,"VS01,SV98",29697000000.0,180.348,1049455273307.2766,10.472712578972017,12.020963934133508,1.5482513551614918
NGC4013,36,2,68.60261898441054,47.600731552800525,-21.001887431610015,28.168925308522233,NGC4013,3,18.0,2.5,4,89.0,1.0,79.094,0.364,4.11,746.16,3.53,10205.4,2.967,31.35,172.9,7.1,2,"VS01,SV98",39547000000.0,197.106,1370028105089.3882,10.597113543892805,12.136729476470302,1.5396159325774974
NGC5005,13,1,5.474575660630752,10.604474375553838,5.129898714923087,-1.3655743202889425e-14,NGC5005,4,16.9,1.5,5,68.0,2.0,178.72,0.494,3.97,1789.91,9.45,96.57,1.28,10.41,262.2,20.7,1,Ri15,89360000000.0,298.90799999999996,4777960540146.155,10.951143160107552,12.679242558710731,1.7280993986031792
NGC5033,20,1,50.53150768959935,56.52300696338896,5.991499273789607,-3.4726681626295886e-05,NGC5033,5,15.7,4.7,1,66.0,1.0,110.509,0.407,2.94,2036.24,5.16,614.94,11.314,29.53,194.2,3.6,1,"Sa96,Be87",55254500000.0,221.388,1941297849134.2524,10.742367653317965,12.288092173364491,1.5457245200465302
NGC3741,21,2,29.161624438961624,16.788758179099126,-12.372866259862498,18.461911135309347,NGC3741,10,3.21,0.17,2,70.0,4.0,0.028,0.001,0.32,42.94,0.2,143.49,0.182,4.2,50.1,2.1,1,"Ge07,Bm05",14000000.0,57.114,33331716111.241577,7.146128035678238,10.522857674250272,3.3767296385720336
NGC5055,22,1,196.75998837771618,202.94212897687527,6.182140599159084,-5.569244245862137e-05,NGC5055,4,9.9,0.3,2,55.0,6.0,152.922,0.282,4.18,1383.02,3.2,3348.34,11.722,35.06,179.0,4.9,1,"Ba06,Bl04",76461000000.0,204.05999999999997,1520210016019.8655,10.883439973667864,12.181903589588211,1.298463615920349
NGC4157,15,1,8.970242295273025,12.590277908460601,3.620035613187577,1.7960647890168417,NGC4157,3,18.0,2.5,4,82.0,3.0,105.62,0.486,4.44,848.85,2.32,23813.87,8.226,24.09,184.7,7.2,1,"VS01,SV98",52810000000.0,210.55799999999996,1670110409708.6428,10.722716167488494,12.22274518296926,1.5000290154807647
NGC5371,19,2,214.29508653152283,54.619206698304446,-159.67587983321837,165.56475779155127,NGC5371,4,39.7,9.92,1,53.0,2.0,340.393,1.881,9.8,560.83,7.44,1395.82,11.18,30.03,209.5,3.9,1,"Sa96,Be87",170196500000.0,238.83,2437230355320.1533,11.230950624806642,12.386896578555476,1.1559459537488357
DDO161,31,1,14.386658489964212,20.398287130905562,6.01162864094135,0.8563457680289428,DDO161,10,7.5,2.25,1,70.0,10.0,0.548,0.015,2.04,20.74,1.22,169.37,1.378,10.69,66.3,1.9,1,Co00,274000000.0,75.582,77247615406.97202,8.437750562820389,10.887885081862851,2.4501345190424644
NGC6015,44,2,669.3586600815709,166.11041181225426,-503.2482482693166,510.81662753715307,NGC6015,6,17.0,5.1,1,60.0,2.0,32.129,0.237,3.92,331.76,2.3,1926.77,5.834,21.43,154.1,7.0,2,VM97,16064499999.999998,175.67399999999998,969956846327.87,10.20586721288659,11.986752412803792,1.7808851999172024
NGC4183,23,1,14.338471720425837,14.862982060245113,0.5245103398192761,5.746478092039024,NGC4183,6,18.0,2.5,4,82.0,2.0,10.838,0.15,4.47,86.46,2.79,1098.58,3.506,16.07,110.6,5.4,1,"VS01,SV98",5419000000.0,126.084,358599663382.8655,9.73391915101239,11.554609877554572,1.820690726542182
NGC6195,20,2,37.93657845477459,25.851623596900453,-12.084954857874138,18.076419404982122,NGC6195,3,127.8,12.8,1,62.0,5.0,391.076,6.123,9.52,686.8,13.94,174.11,20.907,40.89,251.7,9.3,1,SG06,195538000000.0,286.938,4226629143790.5,11.29123116882462,12.625994143293624,1.3347629744690028
NGC5985,33,2,118.89266052455905,71.29885732785519,-47.59380319670386,54.58681831963682,NGC5985,3,39.7,9.9,1,60.0,2.0,208.728,1.538,10.71,288.95,7.01,1461.61,11.586,39.5,293.6,8.6,1,"Bl04,Br92",104364000000.0,334.704,6708302688463.605,11.018550716122284,12.826612650380634,1.8080619342583493
NGC5907,19,2,177.33574710417278,98.70291959797655,-78.63282750619624,84.52170546452913,NGC5907,5,17.3,0.9,2,88.0,2.0,175.425,0.646,7.88,449.6,5.34,8646.29,21.025,0.0,215.0,2.9,1,"Sa96,SA87",87712500000.0,245.09999999999997,2634267515479.282,10.943061489536872,12.42065987639535,1.477598386858478
NGC5585,24,2,120.13637682679459,75.23262382969747,-44.903752997097115,51.259860657793,NGC5585,7,7.06,2.12,1,51.0,2.0,2.943,0.033,2.27,90.54,1.53,297.05,1.683,10.92,90.3,2.4,1,"Bl99,Sa96,Co91",1471500000.0,102.942,195167611686.82904,9.16776026643563,11.290407747589052,2.1226474811534217
NGC4559,32,1,14.3063970160688,19.764582184827155,5.458185168758355,1.473286636841098,NGC4559,6,9.0,2.7,1,67.0,1.0,19.377,0.107,3.82,211.27,2.1,1602.62,5.811,21.16,121.2,5.1,1,Ba05,9688500000.0,138.16799999999998,471902584783.2203,9.98625654359883,11.673852356139337,1.687595812540506
NGC3109,25,1,9.864807034245594,16.258876785081515,6.394069750835921,0.0436818989004788,NGC3109,9,1.33,0.07,2,70.0,5.0,0.194,0.002,1.64,11.4,1.56,140.87,0.477,6.0,66.2,2.6,1,"Be91,JC90",97000000.0,75.468,76898605625.32117,7.986771734266245,10.885918464967634,2.899146730701389
NGC4010,12,1,19.569771938738516,24.5395853563209,4.969813417582383,-1.1800638333170355e-07,NGC4010,7,18.0,2.5,4,89.0,1.0,17.193,0.19,6.63,14.75,2.81,2611.14,2.832,17.59,125.8,4.7,2,"VS01,SV98",8596500000.0,143.41199999999998,527699180796.62213,9.93432166751343,11.722386419976283,1.788064752462855
UGC02259,8,2,18.002811603101744,10.620688394965311,-7.3821232081364325,11.541006291496103,UGC02259,8,10.5,3.1,1,41.0,3.0,1.725,0.038,2.4,47.08,1.62,172.52,0.494,7.28,86.2,2.9,2,"Be91,Ca88",862500000.0,98.268,169772089608.94327,8.935759103745312,11.229866294122672,2.2941071903773604
NGC4217,11,1,10.264936690459844,15.060727265502576,4.795790575042732,-2.944599053478214e-08,NGC4217,3,18.0,2.5,4,86.0,2.0,85.299,0.393,5.28,483.98,2.94,4373.51,2.562,16.7,181.3,7.2,1,"VS01,SV98",42649500000.0,206.682,1579566479786.836,10.62991394409642,12.19853790893506,1.5686239648386415
UGC02487,17,1,82.55473855409593,88.22220971034686,5.667471156250926,-0.0010444681385024523,UGC02487,0,69.1,10.4,1,36.0,5.0,489.955,4.061,9.63,818.14,7.89,1150.35,17.963,40.2,332.0,3.5,1,"No07,No05",244977500000.0,378.48,9699709949754.818,11.38912619834589,12.986758747760645,1.5976325494147527
NGC6674,15,2,282.3724700406227,42.0125126385428,-240.3599574020799,245.77605780428436,NGC6674,3,51.2,10.2,1,54.0,6.0,214.654,1.977,7.75,560.83,6.04,1370.35,32.165,50.02,241.3,4.9,1,"Sa96,Br92",107327000000.0,275.082,3724058224092.1113,11.030708990148176,12.571016462374892,1.5403074722267167
