galaxy,group,rmax,n,chi2_1,chi2_2,bic_margin,dchi2,p0_in,a_in,p0_out,a_out,ratio,drop
UGC07690,forced,4.13,7,0.5558432871352091,0.5558443452700537,3.8918213562454715,-1.0581348445226624e-06,8.611032205992693,0.698845138653029,3.6110322060026094,0.8704028817203777,1.245487495839226,4.9999999999900835
UGC06930,forced,16.61,10,1.4052984799739088,0.8381610890964687,4.038032795110651,0.5671373908774401,7.823727198025159,2.903915950597082,6.133281309300383,15.924695797529845,5.48386939169349,1.690445888724776
UGC06399,forced,7.85,9,0.33007385218254726,0.33007390527948005,4.394449207769372,-5.309693279498262e-08,7.6610117448852035,3.4842512826382257,2.6610175250153922,3.7025387185063146,1.0626497396889252,4.999994219869811
UGC06917,forced,10.47,11,1.7605224412812635,1.7605225862062621,4.79579069052174,-1.4492499866847197e-07,7.750065874542693,3.652258995610124,2.750132533865222,3.9931460458296177,1.0933359465002968,4.999933340677471
UGC02953,winner,62.39,106,1122.7158600642629,409.25369097057103,-704.1352909054676,713.4621690936918,8.1996854881883,4.987719643876483,6.021035153844535,59.51988598219184,11.933286197283666,2.1786503343437644
UGC07125,forced,18.68,13,2.712394285294352,2.712394986511104,5.129899416139825,-7.012167522191248e-07,6.982292770167458,4.759312958192305,1.982292919147489,5.45534731028269,1.14624681297587,4.999999851019969
UGC06786,winner,34.05,45,146.17290605509749,31.670845098448165,-106.88873597710868,114.50206095664932,8.482442903607613,2.1020425422612696,7.344132055009032,11.264824873815067,5.358989957309307,1.1383108485985804
UGC06614,forced,64.59,12,1.2352761516857966,1.235276359237742,4.969813507127947,-2.0755194540811317e-07,6.633145502221962,27.66847977132165,1.6331456306895173,29.51455578275557,1.066721266462474,4.999999871532444
UGC10310,forced,7.74,7,0.4680079911378953,0.46800834760157484,3.891820654574306,-3.5646367951835956e-07,7.851698772496957,2.136001593222346,2.851698773679203,2.416201513561229,1.1311796401407064,4.999999998817754
UGC07603,forced,4.11,12,2.0342074549532825,2.034207885759473,4.969813730382191,-4.3080619072100035e-07,8.113105987708696,1.5347706805704315,3.113106324843078,1.66353214654191,1.083896224759533,4.999999662865618
UGC07399,winner,6.13,10,7.083375422957669,1.4583597768394885,-1.0198454601300888,5.625015646118181,8.62197343306204,1.0959518927568255,7.222490349381914,5.87829759463784,5.363645643105014,1.399483083680126
UGC06667,forced,7.85,9,0.6595284031508303,0.6595284765602317,4.39444922808184,-7.340940144651142e-08,7.77865863197492,3.095177952757996,2.7786929840303563,3.3329190551200965,1.0768101563111285,4.999965647944563
UGC06983,forced,15.68,17,6.3513405342299745,5.832974588188571,5.148060742071028,0.5183659460414036,7.960643250892671,2.6899905098663317,6.392808496917788,10.034304169210438,3.7302377582399178,1.567834753974883
UGC09133,winner,108.31,64,671.7062587583246,365.9655599781022,-297.42293261350306,305.7406987802224,7.619128379514976,8.530885820977584,5.5841055103501045,64.2147659779651,7.527326859780489,2.0350228691648713
UGC08286,winner,8.04,17,18.57729921004723,9.585329692932271,-3.325542829002522,8.991969517114958,8.322367041379396,1.3437131446593664,6.663905471112292,7.705185657232967,5.734248926459855,1.6584615702671037
