Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,M_star,r_vir,M_halo,logM_star,logM_halo,logM_halo_per_star
NGC6195,3,127.8,12.8,1,62.0,5.0,391.076,6.123,9.52,686.8,13.94,174.11,20.907,40.89,251.7,9.3,1,SG06,195538000000.0,286.938,4226629143790.5,11.29123116882462,12.625994143293623,1.3347629744690028
NGC6503,6,6.26,0.31,2,74.0,2.0,12.845,0.059,1.62,774.16,2.16,398.87,1.744,14.05,116.3,2.4,1,"Be91,Be87",6422500000.0,132.582,416949676133.6554,9.807704112938383,11.62008364083388,1.8123795278954962
NGC6674,3,51.2,10.2,1,54.0,6.0,214.654,1.977,7.75,560.83,6.04,1370.35,32.165,50.02,241.3,4.9,1,"Sa96,Br92",107327000000.0,275.082,3724058224092.1113,11.030708990148176,12.571016462374892,1.5403074722267167
NGC6946,6,5.52,1.66,2,38.0,2.0,66.173,0.122,4.2,571.26,2.44,2232.7,5.67,21.25,158.9,10.9,1,Bo08,33086500000.0,181.146,1063447827241.2118,10.519650828475031,12.026716188270672,1.5070653597956412
NGC7331,3,14.7,1.5,3,75.0,2.0,250.631,0.693,3.99,2470.76,5.02,1806.47,11.067,27.01,239.0,5.4,1,"Be91,Be87",125315500000.0,272.46,3618580174893.22,11.098004791250704,12.558538199492947,1.4605334082422434
NGC7814,2,14.4,0.66,2,90.0,1.0,74.529,0.343,2.08,2709.13,2.54,2635.3,1.07,12.15,218.9,7.0,1,Fr11,37264500000.0,249.546,2780236760745.982,10.571295298417532,12.44408178135233,1.8727864829347975
UGC00128,8,64.5,9.7,1,57.0,10.0,12.02,0.565,9.63,20.36,5.95,88.89,7.431,31.27,129.3,2.8,1,"VB99,VH93",6010000000.0,147.402,572980802430.1835,9.77887447200274,11.758140071289716,1.9792655992869772
UGC00731,10,12.5,3.75,1,57.0,3.0,0.323,0.019,1.4,25.63,2.3,82.57,1.807,11.57,73.3,2.3,1,"Sw09,Sw02",161500000.0,83.56199999999998,104389404609.7221,8.208172526667122,11.018656420571919,2.810483893904797
UGC01281,8,5.27,0.24,2,90.0,1.0,0.353,0.009,2.01,13.83,1.63,135.78,0.294,5.26,55.2,3.5,1,"dB02,Sw02",176500000.0,62.928,44582224022.35806,8.246744709723842,10.64916172983613,2.4024170201122885
UGC02259,8,10.5,3.1,1,41.0,3.0,1.725,0.038,2.4,47.08,1.62,172.52,0.494,7.28,86.2,2.9,2,"Be91,Ca88",862500000.0,98.268,169772089608.94327,8.935759103745312,11.229866294122672,2.2941071903773604
UGC02487,0,69.1,10.4,1,36.0,5.0,489.955,4.061,9.63,818.14,7.89,1150.35,17.963,40.2,332.0,3.5,1,"No07,No05",244977500000.0,378.47999999999996,9699709949754.818,11.38912619834589,12.986758747760643,1.5976325494147527
UGC02885,5,80.6,8.06,1,64.0,4.0,403.525,4.088,12.2,421.53,11.4,470.79,40.075,74.24,289.5,12.0,1,"Sa96,RA85",201762500000.0,330.03,6431173125571.1,11.304840450521027,12.808290200838899,1.5034497503178716
UGC02916,2,65.4,9.8,1,50.0,5.0,124.153,1.83,2.8,2425.66,6.15,520.99,23.273,34.24,182.7,6.9,2,"No07,No05",62076500000.0,208.27799999999996,1616442046594.79,10.792927222529496,12.208560138706147,1.4156329161766514
UGC02953,2,16.5,4.95,1,50.0,4.0,259.518,0.717,5.03,1544.65,3.55,4215.31,7.678,24.0,264.9,6.0,2,"No07,No05",129758999999.99998,301.98599999999993,4927088595636.736,11.113137489948498,12.692590371540227,1.5794528815917293
UGC03205,2,50.0,10.0,1,67.0,4.0,113.642,1.361,5.35,587.26,3.19,3915.89,9.677,28.6,219.6,8.6,1,"No07,No05",56821000000.0,250.34399999999997,2806994127066.1323,10.754508872657953,12.448241503982697,1.6937326313247443
UGC03546,1,28.7,7.2,1,55.0,5.0,101.336,0.747,2.58,2403.42,3.79,922.21,2.675,18.37,196.9,7.4,1,"No07,No05",50668000000.0,224.46599999999998,2023399531322.4412,10.70473376187689,12.30608164506289,1.6013478831859995
UGC03580,1,20.7,5.2,1,63.0,4.0,13.266,0.195,1.84,614.94,2.43,302.57,4.37,19.97,126.2,3.2,2,"No07,No05",6633000000.0,143.868,532748899632.86847,9.821709997298376,11.726522561372882,1.904812564074506
UGC04278,7,9.51,2.85,1,90.0,3.0,1.307,0.026,2.46,34.11,2.21,377.42,1.116,8.9,91.4,4.8,1,"dB02,Sw02",653500000.0,104.196,202387219486.1088,8.815245591916563,11.306183083850028,2.4909374919334653
UGC04325,9,9.6,2.88,1,41.0,3.0,2.026,0.035,2.79,41.0,1.86,213.22,0.678,6.61,90.9,2.7,1,"Sw09,Sw02",1012999999.9999999,103.62599999999999,199083902955.42108,9.00560944536028,11.299036146314437,2.293426700954157
UGC04499,8,12.5,3.75,1,50.0,3.0,1.552,0.043,2.69,33.79,1.73,127.3,1.1,8.67,72.8,2.4,1,"Sw09,Sw02",776000000.0,82.99199999999999,102267734335.29181,8.889861721258189,11.009738634587645,2.119876913329456
UGC05005,10,53.7,10.7,1,41.0,10.0,4.1,0.283,5.02,25.63,3.2,65.59,3.093,21.61,98.9,7.2,1,"dB02,VH93",2049999999.9999998,112.746,256409062886.69147,9.311753861055754,11.408933371440073,2.0971795103843185
UGC05253,2,22.9,5.72,1,37.0,4.0,171.582,0.79,4.28,1488.78,8.07,189.16,16.396,36.64,213.7,7.1,2,"No07,No05",85791000000.0,243.61799999999997,2586771474506.5576,10.933441730094037,12.412758063140743,1.4793163330467056
